Player	W/L	Game1	Game2	Game3	Game4	Game5	Game6	Game7	Game8
ThaFazz	0/3	4925	6480	5200
DatHooliganVenus	0/3	5055	3660	5450			
Memoria92	0/3	4075	5165	5800		
0
Dellpit	3/0	4500	11420	7545	
Lime	3/0	0	8365	7940		
x-JigZaw	3/0	9305	6180	8320
0
VicKiyoko	0/3	5090	3735	6315
Wihtedeka	0/3	3645	0	2460
jurrevolkers3000	0/3	0	5650	0
EzioWolf	0/3	3630	7715	4055
0
TDA-TheBeast	3/0	6580	5675	6140
DRIPDRIPLY	3/0	7090	2945	6095
xSmooth-Drift	3/0	4945	8765	5945
